"Name","Image","Price","Shadow size","Swimming pattern","Time","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Abalone","","2000","Big","Moderate Consistent Movement","4pm - 9am","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE"
"Gigas giant clam","","15000","Large","Fast Consistent movement","All Day","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"Chambered nautilus","","1800","Large","Slow","4pm - 9am","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"Octopus","","1200","Large","Slow Long Lunges","All Day","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"Umbrella octopus","","6000","Medium","Quick Short Lunges","All Day","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
"Vampire squid","","10000","Medium","Quick","4pm - 9am","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"Firefly squid","","1400"," ?"," ?","9pm - 4am","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"
"Gazami crab","","2200","Large","Slow Consistent Movement","All Day","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"Dungeness crab","","1900","Large","Moderate Consistent Movement","All Day","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE"
"Snow crab","","6000","Large","Quick Short Lunges","All Day","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE"
"Red king crab","","8000","Large","Quick","All Day","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE"
"Acorn barnacle","","600","Small","Stationary","All Day","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"Spider crab","","12000","Large","Quick","All Day","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"
"Tiger prawn","","3000","Small","Moderate Consistent Movement","4pm - 9am","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"Sweet shrimp","","1400","Small"," ?","All Day","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Mantis shrimp","","2500","Medium","Quick Short Lunges","12am - 8am & 4pm - 12am","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"Spiny lobster","","5000"," ?"," ?","9pm - 4am","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Lobster","","4500","Large","Quick","All Day","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE"
"Giant isopod","","12000","Medium","Quick Long Lunges","9am - 4pm & 9pm - 4am","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Horseshoe crab","","2500","Large"," ?"," ?","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Sea pineapple","","1500","Medium","Slow Long Lunges","All Day","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE"
"Spotted garden eel","","1100","Medium","Slow Consistent Movement","4am - 9pm","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"Flatworm","","700","Small","Slow Short Movement","4pm - 9am","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Venus' Flower Basket","","5000","Large","Quick Long Lunges","All Day","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
